"","study","doi","contribution"
"1","ot_521","http://dx.doi.org/10.1016/j.ympev.2014.12.003",40.1429366994617
"2","ot_809","http://dx.doi.org/10.1038/nature11631",38.3144607388157
"3","Taxonomic additions","https://github.com/eliotmiller/clootl",15.6023760905885
"4","ot_2015","http://dx.doi.org/10.1126/science.aaz6970",11.1657694449601
"5","ot_770","http://dx.doi.org/10.1642/auk-14-110.1",6.6456283645814
"6","ot_2158","http://dx.doi.org/10.1093/sysbio/syac044",6.36718024874698
"7","ot_290","http://dx.doi.org/10.1016/j.ympev.2015.03.018",5.62465193985521
"8","ot_520","http://dx.doi.org/10.1016/j.ympev.2015.08.020",4.43660664562836
"9","ot_2018","http://dx.doi.org/10.3390/d11070109",4.37163541860033
"10","ot_2179","http://dx.doi.org/10.1016/j.ympev.2018.10.010",3.9910896602933
"11","ot_2145","http://dx.doi.org/10.1093/sysbio/syac055",3.33209578615185
"12","ot_2141","http://dx.doi.org/10.1016/j.ympev.2022.107620",3.08149248190087
"13","pg_2829","http://dx.doi.org/10.1016/j.ympev.2014.02.006",2.89586040467793
"14","ot_2167","http://dx.doi.org/10.1016/j.ympev.2022.107646",2.72879153517728
"15","pg_2913","http://dx.doi.org/10.1038/nature13272",2.22758492667533
"16","ot_2079","http://dx.doi.org/10.1111/geb.13484",2.12548728420271
"17","ot_2143","http://dx.doi.org/10.1002/ece3.6615",2.11620568034156
"18","ot_1043","http://dx.doi.org/10.1016/j.ympev.2016.12.021",2.06979766103583
"19","ot_2228","http://dx.doi.org/10.1098/rspb.2021.1022",1.93057360311862
"20","ot_2017","http://dx.doi.org/10.1016/j.ympev.2017.09.005",1.89344718767403
"21","ot_2013","http://dx.doi.org/10.1073/pnas.1813206116",1.83775756450715
"22","pg_2853","http://dx.doi.org/10.1016/j.cub.2014.03.016",1.83775756450715
"23","pg_1953","http://dx.doi.org/10.1111/j.1558-5646.2011.01374.x",1.74494152589567
"24","ot_1055","http://dx.doi.org/10.1093/sysbio/syx041",1.57787265639503
"25","ot_2154","http://dx.doi.org/10.1098/rspb.2019.0122",1.57787265639503
"26","ot_425","http://dx.doi.org/10.1016/j.ympev.2015.06.005",1.56859105253388
"27","ot_531","http://dx.doi.org/10.1126/sciadv.1501005",1.50361982550585
"28","ot_500","http://dx.doi.org/10.1038/nature15697",1.44793020233896
"29","ot_2186","http://dx.doi.org/10.2478/orhu-2014-0008",1.22517170967143
"30","ot_504","http://dx.doi.org/10.1016/j.ympev.2015.08.025",1.1602004826434
"31","ot_2072","http://dx.doi.org/10.1186/s12862-021-01935-1",1.09522925561537
"32","pg_2575","http://dx.doi.org/10.1093/sysbio/sys094",1.03953963244849
"33","pg_2804","http://dx.doi.org/10.4061/2011/423938",1.02097642472619
"34","pg_1586","http://dx.doi.org/10.1093/sysbio/sys027",1.0024132170039
"35","ot_1170","http://dx.doi.org/10.1111/ibi.12464",0.993131613142751
"36","ot_2172","http://dx.doi.org/10.1093/auk/ukz041",0.983850009281604
"37","ot_2222","http://dx.doi.org/10.1016/j.ympev.2020.106757",0.946723593837015
"38","pg_2591","http://dx.doi.org/10.1016/j.ympev.2010.07.018",0.872470762947837
"39","pg_2924","http://dx.doi.org/10.1016/j.ympev.2014.04.025",0.853907555225543
"40","ot_121","http://ukcatalogue.oup.com/product/9780198502135.do",0.835344347503249
"41","pg_2707","http://dx.doi.org/10.1016/j.ympev.2013.11.009",0.835344347503249
"42","ot_2230","http://dx.doi.org/10.1016/j.avrs.2023.100095",0.779654724336365
"43","ot_783","http://dx.doi.org/10.1038/ncomms12709",0.779654724336365
"44","ot_180","http://dx.doi.org/10.1016/j.ympev.2007.03.017",0.770373120475218
"45","ot_863","http://dx.doi.org/10.1016/j.ympev.2016.09.022",0.770373120475218
"46","pg_2866","http://dx.doi.org/10.1111/j.1469-7998.2009.00622.x",0.742528308891776
"47","pg_2692","http://dx.doi.org/10.1016/j.ympev.2011.10.002",0.723965101169482
"48","ot_2231","http://dx.doi.org/10.1007/s13127-021-00506-y",0.677557081863746
"49","ot_1002","http://dx.doi.org/10.1093/molbev/msv347",0.640430666419157
"50","ot_412","http://dx.doi.org/10.1016/j.ympev.2014.06.011",0.621867458696863
"51","ot_1287","http://dx.doi.org/10.1016/j.ympev.2018.03.031",0.612585854835716
"52","ot_111","http://dx.doi.org/10.1098/rsbl.2013.1067",0.584741043252274
"53","ot_116","http://dx.doi.org/10.1038/nature11050",0.584741043252274
"54","ot_753","http://dx.doi.org/10.1111/jbi.12782",0.584741043252274
"55","pg_2404","http://dx.doi.org/10.1073/pnas.0401892101",0.575459439391127
"56","ot_2090","http://dx.doi.org/10.1016/j.ympev.2014.08.010",0.56617783552998
"57","ot_2108","http://dx.doi.org/10.1098/rsbl.2020.0040",0.56617783552998
"58","ot_816","http://dx.doi.org/10.1016/j.ympev.2012.03.008",0.556896231668832
"59","ot_2180","http://dx.doi.org/10.1016/j.ympev.2021.107273",0.529051420085391
"60","ot_782","http://dx.doi.org/10.1098/rspb.2004.2997",0.519769816224244
"61","ot_2178","http://dx.doi.org/10.1016/j.ympev.2018.03.029",0.510488212363096
"62","pg_2416","http://dx.doi.org/10.1093/oxfordjournals.molbev.a025864",0.491925004640802
"63","pg_2860","http://dx.doi.org/10.1098/rspb.2011.2599",0.491925004640802
"64","ot_146","http://dx.doi.org/10.1098/rsbl.2006.0606",0.482643400779655
"65","pg_2599","http://dx.doi.org/10.1016/j.ympev.2013.06.005",0.482643400779655
"66","ot_2097","http://dx.doi.org/10.1093/ornithology/ukab065",0.473361796918507
"67","ot_2170","http://dx.doi.org/10.1016/j.ympev.2016.06.006",0.473361796918507
"68","ot_2159","http://dx.doi.org/10.1098/rspb.2019.2400",0.454798589196213
"69","ot_2082","http://dx.doi.org/10.1111/jav.02672",0.408390569890477
"70","ot_178","http://dx.doi.org/10.1016/j.ympev.2004.11.008",0.39910896602933
"71","ot_2146","http://dx.doi.org/10.1016/j.ympev.2022.107575",0.39910896602933
"72","ot_2221","http://dx.doi.org/10.1093/ornithology/ukad005",0.39910896602933
"73","ot_2160","http://dx.doi.org/10.3390/d12020070",0.389827362168183
"74","ot_532","http://dx.doi.org/10.1093/gbe/evv196",0.389827362168183
"75","pg_1854","http://dx.doi.org/10.1016/j.ympev.2006.04.014",0.389827362168183
