TAXON_ID,ORDER1,FAMILY,SCI_NAME,PRIMARY_COM_NAME,DECISION
1,Struthioniformes,Struthionidae (Ostriches),Struthio camelus,Common Ostrich,Miscellaneous
2,Struthioniformes,Struthionidae (Ostriches),Struthio molybdophanes,Somali Ostrich,Geographic Location
3,Rheiformes,Rheidae (Rheas),Rhea americana,Greater Rhea,Size
4,Rheiformes,Rheidae (Rheas),Rhea pennata,Lesser Rhea,Size
5,Tinamiformes,Tinamidae (Tinamous),Nothocercus julius,Tawny-breasted Tinamou,Both sexes physical trait
6,Tinamiformes,Tinamidae (Tinamous),Nothocercus bonapartei,Highland Tinamou,Natural History
7,Tinamiformes,Tinamidae (Tinamous),Nothocercus nigrocapillus,Hooded Tinamou,Both sexes physical trait
8,Tinamiformes,Tinamidae (Tinamous),Tinamus tao,Gray Tinamou,Both sexes physical trait
9,Tinamiformes,Tinamidae (Tinamous),Tinamus solitarius,Solitary Tinamou,Behavior
10,Tinamiformes,Tinamidae (Tinamous),Tinamus osgoodi,Black Tinamou,Both sexes physical trait
11,Tinamiformes,Tinamidae (Tinamous),Tinamus major,Great Tinamou,Size
12,Tinamiformes,Tinamidae (Tinamous),Tinamus guttatus,White-throated Tinamou,Both sexes physical trait
13,Tinamiformes,Tinamidae (Tinamous),Crypturellus cinereus,Cinereous Tinamou,Both sexes physical trait
14,Tinamiformes,Tinamidae (Tinamous),Crypturellus berlepschi,Berlepsch's Tinamou,Person
15,Tinamiformes,Tinamidae (Tinamous),Crypturellus soui,Little Tinamou,Size
16,Tinamiformes,Tinamidae (Tinamous),Crypturellus ptaritepui,Tepui Tinamou,Natural History
17,Tinamiformes,Tinamidae (Tinamous),Crypturellus obsoletus,Brown Tinamou,Both sexes physical trait
18,Tinamiformes,Tinamidae (Tinamous),Crypturellus undulatus,Undulated Tinamou,Both sexes physical trait
19,Tinamiformes,Tinamidae (Tinamous),Crypturellus transfasciatus,Pale-browed Tinamou,Both sexes physical trait
20,Tinamiformes,Tinamidae (Tinamous),Crypturellus strigulosus,Brazilian Tinamou,Geographic Location
21,Tinamiformes,Tinamidae (Tinamous),Crypturellus duidae,Gray-legged Tinamou,Both sexes physical trait
22,Tinamiformes,Tinamidae (Tinamous),Crypturellus erythropus,Red-legged Tinamou,Both sexes physical trait
23,Tinamiformes,Tinamidae (Tinamous),Crypturellus noctivagus,Yellow-legged Tinamou,Both sexes physical trait
24,Tinamiformes,Tinamidae (Tinamous),Crypturellus atrocapillus,Black-capped Tinamou,Both sexes physical trait
25,Tinamiformes,Tinamidae (Tinamous),Crypturellus boucardi,Slaty-breasted Tinamou,Both sexes physical trait
26,Tinamiformes,Tinamidae (Tinamous),Crypturellus kerriae,Choco Tinamou,Geographic Location
27,Tinamiformes,Tinamidae (Tinamous),Crypturellus variegatus,Variegated Tinamou,Both sexes physical trait
28,Tinamiformes,Tinamidae (Tinamous),Crypturellus cinnamomeus,Thicket Tinamou,Natural History
29,Tinamiformes,Tinamidae (Tinamous),Crypturellus brevirostris,Rusty Tinamou,Both sexes physical trait
30,Tinamiformes,Tinamidae (Tinamous),Crypturellus bartletti,Bartlett's Tinamou,Person
31,Tinamiformes,Tinamidae (Tinamous),Crypturellus parvirostris,Small-billed Tinamou,Both sexes physical trait
32,Tinamiformes,Tinamidae (Tinamous),Crypturellus casiquiare,Barred Tinamou,Both sexes physical trait
33,Tinamiformes,Tinamidae (Tinamous),Crypturellus tataupa,Tataupa Tinamou,Local language
34,Tinamiformes,Tinamidae (Tinamous),Rhynchotus rufescens,Red-winged Tinamou,Both sexes physical trait
35,Tinamiformes,Tinamidae (Tinamous),Rhynchotus maculicollis,Huayco Tinamou,Local language
36,Tinamiformes,Tinamidae (Tinamous),Nothoprocta taczanowskii,Taczanowski's Tinamou,Person
37,Tinamiformes,Tinamidae (Tinamous),Nothoprocta ornata,Ornate Tinamou,Both sexes physical trait
38,Tinamiformes,Tinamidae (Tinamous),Nothoprocta perdicaria,Chilean Tinamou,Geographic Location
39,Tinamiformes,Tinamidae (Tinamous),Nothoprocta cinerascens,Brushland Tinamou,Natural History
40,Tinamiformes,Tinamidae (Tinamous),Nothoprocta pentlandii,Andean Tinamou,Geographic Location
41,Tinamiformes,Tinamidae (Tinamous),Nothoprocta curvirostris,Curve-billed Tinamou,Both sexes physical trait
42,Tinamiformes,Tinamidae (Tinamous),Nothura boraquira,White-bellied Nothura,Both sexes physical trait
43,Tinamiformes,Tinamidae (Tinamous),Nothura minor,Lesser Nothura,Size
44,Tinamiformes,Tinamidae (Tinamous),Nothura darwinii,Darwin's Nothura,Person
45,Tinamiformes,Tinamidae (Tinamous),Nothura maculosa,Spotted Nothura,Both sexes physical trait
46,Tinamiformes,Tinamidae (Tinamous),Taoniscus nanus,Dwarf Tinamou,Size
47,Tinamiformes,Tinamidae (Tinamous),Eudromia elegans,Elegant Crested-Tinamou,Miscellaneous
48,Tinamiformes,Tinamidae (Tinamous),Eudromia formosa,Quebracho Crested-Tinamou,Natural History
49,Tinamiformes,Tinamidae (Tinamous),Tinamotis pentlandii,Puna Tinamou,Natural History
50,Tinamiformes,Tinamidae (Tinamous),Tinamotis ingoufi,Patagonian Tinamou,Geographic Location
51,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius casuarius,Southern Cassowary,Geographic Location
52,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius bennetti,Dwarf Cassowary,Size
53,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius unappendiculatus,Northern Cassowary,Geographic Location
54,Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius novaehollandiae,Emu,Miscellaneous
55,Apterygiformes,Apterygidae (Kiwis),Apteryx australis,Southern Brown Kiwi,Geographic Location
56,Apterygiformes,Apterygidae (Kiwis),Apteryx rowi,Okarito Brown Kiwi,Geographic Location
57,Apterygiformes,Apterygidae (Kiwis),Apteryx mantelli,North Island Brown Kiwi,Geographic Location
58,Apterygiformes,Apterygidae (Kiwis),Apteryx owenii,Little Spotted Kiwi,Size
59,Apterygiformes,Apterygidae (Kiwis),Apteryx haastii,Great Spotted Kiwi,Size
60,Anseriformes,Anhimidae (Screamers),Anhima cornuta,Horned Screamer,Both sexes physical trait
61,Anseriformes,Anhimidae (Screamers),Chauna torquata,Southern Screamer,Geographic Location
62,Anseriformes,Anhimidae (Screamers),Chauna chavaria,Northern Screamer,Geographic Location
63,Anseriformes,Anseranatidae (Magpie Goose),Anseranas semipalmata,Magpie Goose,Both sexes physical trait
64,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna guttata,Spotted Whistling-Duck,Both sexes physical trait
65,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna eytoni,Plumed Whistling-Duck,Both sexes physical trait
66,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna viduata,White-faced Whistling-Duck,Both sexes physical trait
67,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna autumnalis,Black-bellied Whistling-Duck,Both sexes physical trait
68,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna arborea,West Indian Whistling-Duck,Geographic Location
69,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna bicolor,Fulvous Whistling-Duck,Both sexes physical trait
70,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna arcuata,Wandering Whistling-Duck,Behavior
71,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna javanica,Lesser Whistling-Duck,Size
72,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Thalassornis leuconotus,White-backed Duck,Both sexes physical trait
73,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser indicus,Bar-headed Goose,Both sexes physical trait
74,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser canagicus,Emperor Goose,Both sexes physical trait
75,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser caerulescens,Snow Goose,Both sexes physical trait
76,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser rossii,Ross's Goose,Person
77,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser anser,Graylag Goose,Both sexes physical trait
78,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser cygnoides,Swan Goose,Both sexes physical trait
79,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser albifrons,Greater White-fronted Goose,Size
80,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser erythropus,Lesser White-fronted Goose,Size
81,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser fabalis,Taiga Bean-Goose,Natural History
82,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser serrirostris,Tundra Bean-Goose,Natural History
83,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser brachyrhynchus,Pink-footed Goose,Both sexes physical trait
84,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta bernicla,Brant,Local language
85,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta leucopsis,Barnacle Goose,Miscellaneous
