"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","DECISION_FINAL","GENERAL_CAT"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Ptychoramphus aleuticus","Cassin's Auklet","Person","human"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia cristatella","Crested Auklet","Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia pusilla","Least Auklet","Size","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Cerorhinca monocerata","Rhinoceros Auklet","Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia pygmaea","Whiskered Auklet","Both sexes physical trait","physical trait"
"Charadriiformes","Recurvirostridae (Stilts and Avocets)","Recurvirostra americana","American Avocet","Geographic Location","natural history"
"Phaethontiformes","Phaethontidae (Tropicbirds)","Phaethon aethereus","Red-billed Tropicbird","Both sexes physical trait","physical trait"
"Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Botaurus lentiginosus","American Bittern","Geographic Location","natural history"
"Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ixobrychus exilis","Least Bittern","Size","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Euphagus cyanocephalus","Brewer's Blackbird","Person","human"
"Passeriformes","Icteridae (Troupials and Allies)","Agelaius phoeniceus","Red-winged Blackbird","Male physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Euphagus carolinus","Rusty Blackbird","Both sexes physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Agelaius tricolor","Tricolored Blackbird","Male physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Bucephala albeola","Bufflehead","Male physical trait","physical trait"
"Passeriformes","Turdidae (Thrushes and Allies)","Sialia currucoides","Mountain Bluebird","Natural History","natural history"
"Passeriformes","Turdidae (Thrushes and Allies)","Sialia mexicana","Western Bluebird","Geographic Location","natural history"
"Passeriformes","Icteridae (Troupials and Allies)","Dolichonyx oryzivorus","Bobolink","Behavior","natural history"
"Suliformes","Sulidae (Boobies and Gannets)","Sula sula","Red-footed Booby","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta bernicla","Brant","Local language","human"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina cyanea","Indigo Bunting","Male physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Calamospiza melanocorys","Lark Bunting","Behavior","natural history"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina amoena","Lazuli Bunting","Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina ciris","Painted Bunting","Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina versicolor","Varied Bunting","Male physical trait","physical trait"
"Passeriformes","Aegithalidae (Long-tailed Tits)","Psaltriparus minimus","Bushtit","Natural History","natural history"
"Falconiformes","Falconidae (Falcons and Caracaras)","Caracara lutosa","Guadalupe Caracara","Geographic Location","natural history"
"Passeriformes","Icteriidae (Yellow-breasted Chat)","Icteria virens","Yellow-breasted Chat","Both sexes physical trait","physical trait"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile carolinensis","Carolina Chickadee","Geographic Location","natural history"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile rufescens","Chestnut-backed Chickadee","Both sexes physical trait","physical trait"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile sclateri","Mexican Chickadee","Geographic Location","natural history"
