ORDER,FAMILY,SCI_NAME,PRIMARY_COM_NAME,DECISION_FINAL,GENERAL_CAT
Struthioniformes,Struthionidae (Ostriches),Struthio camelus,Common Ostrich,Miscellaneous,human
Struthioniformes,Struthionidae (Ostriches),Struthio molybdophanes,Somali Ostrich,Geographic Location,natural history
Rheiformes,Rheidae (Rheas),Rhea americana,Greater Rhea,Size,physical trait
Rheiformes,Rheidae (Rheas),Rhea pennata,Lesser Rhea,Size,physical trait
Tinamiformes,Tinamidae (Tinamous),Nothocercus julius,Tawny-breasted Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Nothocercus bonapartei,Highland Tinamou,Natural History,natural history
Tinamiformes,Tinamidae (Tinamous),Nothocercus nigrocapillus,Hooded Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Tinamus tao,Gray Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Tinamus solitarius,Solitary Tinamou,Behavior,natural history
Tinamiformes,Tinamidae (Tinamous),Tinamus osgoodi,Black Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Tinamus major,Great Tinamou,Size,physical trait
Tinamiformes,Tinamidae (Tinamous),Tinamus guttatus,White-throated Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinereus,Cinereous Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus berlepschi,Berlepsch's Tinamou,Person,human
Tinamiformes,Tinamidae (Tinamous),Crypturellus soui,Little Tinamou,Size,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus ptaritepui,Tepui Tinamou,Geographic Location,natural history
Tinamiformes,Tinamidae (Tinamous),Crypturellus obsoletus,Brown Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus undulatus,Undulated Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus transfasciatus,Pale-browed Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus strigulosus,Brazilian Tinamou,Geographic Location,natural history
Tinamiformes,Tinamidae (Tinamous),Crypturellus duidae,Gray-legged Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus erythropus,Red-legged Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus noctivagus,Yellow-legged Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus atrocapillus,Black-capped Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus boucardi,Slaty-breasted Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus kerriae,Choco Tinamou,Geographic Location,natural history
Tinamiformes,Tinamidae (Tinamous),Crypturellus variegatus,Variegated Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinnamomeus,Thicket Tinamou,Natural History,natural history
Tinamiformes,Tinamidae (Tinamous),Crypturellus brevirostris,Rusty Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus bartletti,Bartlett's Tinamou,Person,human
Tinamiformes,Tinamidae (Tinamous),Crypturellus parvirostris,Small-billed Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus casiquiare,Barred Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Crypturellus tataupa,Tataupa Tinamou,Local language,human
Tinamiformes,Tinamidae (Tinamous),Rhynchotus rufescens,Red-winged Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Rhynchotus maculicollis,Huayco Tinamou,Local language,human
Tinamiformes,Tinamidae (Tinamous),Nothoprocta taczanowskii,Taczanowski's Tinamou,Person,human
Tinamiformes,Tinamidae (Tinamous),Nothoprocta ornata,Ornate Tinamou,Miscellaneous,human
Tinamiformes,Tinamidae (Tinamous),Nothoprocta perdicaria,Chilean Tinamou,Geographic Location,natural history
Tinamiformes,Tinamidae (Tinamous),Nothoprocta cinerascens,Brushland Tinamou,Natural History,natural history
Tinamiformes,Tinamidae (Tinamous),Nothoprocta pentlandii,Andean Tinamou,Geographic Location,natural history
Tinamiformes,Tinamidae (Tinamous),Nothoprocta curvirostris,Curve-billed Tinamou,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Nothura boraquira,White-bellied Nothura,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Nothura minor,Lesser Nothura,Size,physical trait
Tinamiformes,Tinamidae (Tinamous),Nothura darwinii,Darwin's Nothura,Person,human
Tinamiformes,Tinamidae (Tinamous),Nothura maculosa,Spotted Nothura,Both sexes physical trait,physical trait
Tinamiformes,Tinamidae (Tinamous),Taoniscus nanus,Dwarf Tinamou,Size,physical trait
Tinamiformes,Tinamidae (Tinamous),Eudromia elegans,Elegant Crested-Tinamou,Miscellaneous,human
Tinamiformes,Tinamidae (Tinamous),Eudromia formosa,Quebracho Crested-Tinamou,Natural History,natural history
Tinamiformes,Tinamidae (Tinamous),Tinamotis pentlandii,Puna Tinamou,Natural History,natural history
Tinamiformes,Tinamidae (Tinamous),Tinamotis ingoufi,Patagonian Tinamou,Geographic Location,natural history
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius casuarius,Southern Cassowary,Geographic Location,natural history
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius bennetti,Dwarf Cassowary,Size,physical trait
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius unappendiculatus,Northern Cassowary,Geographic Location,natural history
Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius novaehollandiae,Emu,Miscellaneous,human
Apterygiformes,Apterygidae (Kiwis),Apteryx australis,Southern Brown Kiwi,Geographic Location,natural history
Apterygiformes,Apterygidae (Kiwis),Apteryx rowi,Okarito Brown Kiwi,Geographic Location,natural history
Apterygiformes,Apterygidae (Kiwis),Apteryx mantelli,North Island Brown Kiwi,Geographic Location,natural history
Apterygiformes,Apterygidae (Kiwis),Apteryx owenii,Little Spotted Kiwi,Size,physical trait
Apterygiformes,Apterygidae (Kiwis),Apteryx haastii,Great Spotted Kiwi,Size,physical trait
Anseriformes,Anhimidae (Screamers),Anhima cornuta,Horned Screamer,Both sexes physical trait,physical trait
Anseriformes,Anhimidae (Screamers),Chauna torquata,Southern Screamer,Geographic Location,natural history
Anseriformes,Anhimidae (Screamers),Chauna chavaria,Northern Screamer,Geographic Location,natural history
Anseriformes,Anseranatidae (Magpie Goose),Anseranas semipalmata,Magpie Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna guttata,Spotted Whistling-Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna eytoni,Plumed Whistling-Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna viduata,White-faced Whistling-Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna autumnalis,Black-bellied Whistling-Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna arborea,West Indian Whistling-Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna bicolor,Fulvous Whistling-Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna arcuata,Wandering Whistling-Duck,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna javanica,Lesser Whistling-Duck,Size,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Thalassornis leuconotus,White-backed Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser indicus,Bar-headed Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser canagicus,Emperor Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser caerulescens,Snow Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser rossii,Ross's Goose,Person,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser anser,Graylag Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser cygnoides,Swan Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser albifrons,Greater White-fronted Goose,Size,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser erythropus,Lesser White-fronted Goose,Size,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser fabalis,Taiga Bean-Goose,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser serrirostris,Tundra Bean-Goose,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser brachyrhynchus,Pink-footed Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta bernicla,Brant,Local language,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta leucopsis,Barnacle Goose,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta hutchinsii,Cackling Goose,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta canadensis,Canada Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta sandvicensis,Hawaiian Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta ruficollis,Red-breasted Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cereopsis novaehollandiae,Cape Barren Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Stictonetta naevosa,Freckled Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cyanochen cyanoptera,Blue-winged Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus olor,Mute Swan,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus atratus,Black Swan,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus melancoryphus,Black-necked Swan,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus buccinator,Trumpeter Swan,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus columbianus,Tundra Swan,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus cygnus,Whooper Swan,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Coscoroba coscoroba,Coscoroba Swan,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis melanotos,Knob-billed Duck,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis sylvicola,Comb Duck,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Pteronetta hartlaubii,Hartlaub's Duck,Person,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oressochen jubatus,Orinoco Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oressochen melanopterus,Andean Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga picta,Upland Goose,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga hybrida,Kelp Goose,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga poliocephala,Ashy-headed Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga rubidiceps,Ruddy-headed Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Radjah radjah,Radjah Shelduck,Local language,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen aegyptiaca,Egyptian Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen mauritiana,Mauritius Shelduck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen kervazoi,Reunion Shelduck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna ferruginea,Ruddy Shelduck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna cana,South African Shelduck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna tadornoides,Australian Shelduck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna variegata,Paradise Shelduck,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna tadorna,Common Shelduck,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna cristata,Crested Shelduck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plectropterus gambensis,Spur-winged Goose,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres patachonicus,Flying Steamer-Duck,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres pteneres,Flightless Steamer-Duck,Behavior,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres brachypterus,Falkland Steamer-Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres leucocephalus,White-headed Steamer-Duck,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lophonetta specularioides,Crested Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Speculanas specularis,Spectacled Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina moschata,Muscovy Duck,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus pulchellus,Green Pygmy-Goose,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus coromandelianus,Cotton Pygmy-Goose,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus auritus,African Pygmy-Goose,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Callonetta leucophrys,Ringed Teal,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix sponsa,Wood Duck,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix galericulata,Mandarin Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chenonetta jubata,Maned Duck,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chenonetta finschi,Finsch's Duck,Person,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Amazonetta brasiliensis,Brazilian Teal,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Hymenolaimus malacorhynchos,Blue Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Merganetta armata,Torrent Duck,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Salvadorina waigiuensis,Salvadori's Teal,Person,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Sibirionetta formosa,Baikal Teal,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula querquedula,Garganey,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula hottentota,Blue-billed Teal,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula versicolor,Silver Teal,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula puna,Puna Teal,Natural History,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula discors,Blue-winged Teal,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula cyanoptera,Cinnamon Teal,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula platalea,Red Shoveler,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula smithii,Cape Shoveler,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula clypeata,Northern Shoveler,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca strepera,Gadwall,Miscellaneous,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca falcata,Falcated Duck,Male physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca penelope,Eurasian Wigeon,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca americana,American Wigeon,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca sibilatrix,Chiloe Wigeon,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca marecula,Amsterdam Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas sparsa,African Black Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas undulata,Yellow-billed Duck,Both sexes physical trait,physical trait
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas melleri,Meller's Duck,Person,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas superciliosa,Pacific Black Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas laysanensis,Laysan Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas wyvilliana,Hawaiian Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas luzonica,Philippine Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas poecilorhyncha,Indian Spot-billed Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas zonorhyncha,Eastern Spot-billed Duck,Geographic Location,natural history
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas platyrhynchos,Mallard,Local language,human
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas diazi,Mexican Duck,Geographic Location,natural history
