TAXON_ID,ORDER1,FAMILY,SCI_NAME,PRIMARY_COM_NAME,Descriptor_Name,Group_Name,CATEGORY_1_A,CATEGORY_2_A,REFERENCE_A,COMMENT_A,SCORER_ID_A,ESM_edit_A,ebird_102522,CATEGORY_1_B,CATEGORY_2_B,REFERENCE_B,COMMENT_B,SCORER_ID_B,ESM_edit_B,CATEGORY_1_C,REFERENCE_C,COMMENT_C,SCORER_ID_C,CATEGORY_1_D,REFERENCE_D,COMMENT_D,SCORER_ID_D,CATEGORY_1_E,REFERENCE_E,COMMENT_E,SCORER_ID_E,ESM_AJS_FINAL_DECISION,DECISION
1,Struthioniformes,Struthionidae (Ostriches),Struthio camelus,Common Ostrich,Common,Ostrich,General Descriptor,NA,NA,NA,ESM10,NA,NA,General Descriptor,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miscellaneous
2,Struthioniformes,Struthionidae (Ostriches),Struthio molybdophanes,Somali Ostrich,Somali,Ostrich,Geographic Location,NA,NA,NA,ESM10,NA,NA,Geographic Location,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location
3,Rheiformes,Rheidae (Rheas),Rhea americana,Greater Rhea,Greater,Rhea,Size,NA,NA,NA,ESM10,NA,NA,Size,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size
4,Rheiformes,Rheidae (Rheas),Rhea pennata,Lesser Rhea,Lesser,Rhea,Size,NA,NA,NA,ESM10,NA,NA,Size,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size
5,Tinamiformes,Tinamidae (Tinamous),Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted,Tinamou,Both sexes physical trait,NA,NA,NA,ESM10,NA,NA,Both sexes physical trait,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait
6,Tinamiformes,Tinamidae (Tinamous),Nothocercus bonapartei,Highland Tinamou,Highland,Tinamou,Life History,NA,NA,NA,ESM10,NA,NA,Life History,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History
7,Tinamiformes,Tinamidae (Tinamous),Nothocercus nigrocapillus,Hooded Tinamou,Hooded,Tinamou,Both sexes physical trait,NA,NA,NA,ESM10,NA,NA,Both sexes physical trait,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait
8,Tinamiformes,Tinamidae (Tinamous),Tinamus tao,Gray Tinamou,Gray,Tinamou,Both sexes physical trait,NA,NA,NA,ESM10,NA,NA,Both sexes physical trait,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait
9,Tinamiformes,Tinamidae (Tinamous),Tinamus solitarius,Solitary Tinamou,Solitary,Tinamou,Behavior,NA,NA,NA,ESM10,NA,NA,Behavior,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Behavior
10,Tinamiformes,Tinamidae (Tinamous),Tinamus osgoodi,Black Tinamou,Black,Tinamou,Both sexes physical trait,NA,NA,NA,ESM10,NA,NA,Both sexes physical trait,NA,NA,NA,DTB0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait
