ORDER,FAMILY,SCI_NAME,PRIMARY_COM_NAME,Descriptor_Name,Group_Name,CATEGORY_1_A,CATEGORY_2_A,REFERENCE_A,COMMENT_A,CATEGORY_1_B,CATEGORY_2_B,REFERENCE_B,COMMENT_B,CATEGORY_1_C,REFERENCE_C,COMMENT_C,CATEGORY_1_D,REFERENCE_D,COMMENT_D,CATEGORY_1_E,REFERENCE_E,COMMENT_E,ESM_AJS_FINAL_DECISION,DECISION_FINAL,GENERAL_CAT,IOC_TAX,BREEDING_CONTINENT
Struthioniformes,Struthionidae (Ostriches),Struthio camelus,Common Ostrich,Common,Ostrich,General Descriptor,NA,NA,NA,General Descriptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miscellaneous,human,Struthio camelus,Africa
Struthioniformes,Struthionidae (Ostriches),Struthio molybdophanes,Somali Ostrich,Somali,Ostrich,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Struthio molybdophanes,Africa
Rheiformes,Rheidae (Rheas),Rhea americana,Greater Rhea,Greater,Rhea,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Rhea americana,South America
Rheiformes,Rheidae (Rheas),Rhea pennata,Lesser Rhea,Lesser,Rhea,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Rhea pennata,South America
Tinamiformes,Tinamidae (Tinamous),Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Nothocercus julius,South America
Tinamiformes,Tinamidae (Tinamous),Nothocercus bonapartei,Highland Tinamou,Highland,Tinamou,Life History,NA,NA,NA,Life History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History,natural history,Nothocercus bonapartei,"Middle America,South America"
Tinamiformes,Tinamidae (Tinamous),Nothocercus nigrocapillus,Hooded Tinamou,Hooded,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Nothocercus nigrocapillus,South America
Tinamiformes,Tinamidae (Tinamous),Tinamus tao,Gray Tinamou,Gray,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Tinamus tao,South America
Tinamiformes,Tinamidae (Tinamous),Tinamus solitarius,Solitary Tinamou,Solitary,Tinamou,Behavior,NA,NA,NA,Behavior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Behavior,natural history,Tinamus solitarius,South America
Tinamiformes,Tinamidae (Tinamous),Tinamus osgoodi,Black Tinamou,Black,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Tinamus osgoodi,South America
Tinamiformes,Tinamidae (Tinamous),Tinamus major,Great Tinamou,Great,Tinamou,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Tinamus major,"Middle America,South America"
Tinamiformes,Tinamidae (Tinamous),Tinamus guttatus,White-throated Tinamou,White-throated,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Tinamus guttatus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinereus,Cinereous Tinamou,Cinereous,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus cinereus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's,Tinamou,Person,NA,NA,NA,Person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Person,human,Crypturellus berlepschi,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus soui,Little Tinamou,Little,Tinamou,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Crypturellus soui,"Middle America,South America"
Tinamiformes,Tinamidae (Tinamous),Crypturellus ptaritepui,Tepui Tinamou,Tepui,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Crypturellus ptaritepui,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus obsoletus,Brown Tinamou,Brown,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus obsoletus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus undulatus,Undulated Tinamou,Undulated,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus undulatus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed,Tinamou,Both sexes physical trait,NA,NA,sex dimorphic,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus transfasciatus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus strigulosus,Brazilian Tinamou,Brazilian,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Crypturellus strigulosus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus duidae,Gray-legged Tinamou,Gray-legged,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus duidae,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus erythropus,Red-legged Tinamou,Red-legged,Tinamou,Both sexes physical trait,NA,NA,sex dimorphic,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus erythropus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus noctivagus,Yellow-legged Tinamou,Yellow-legged,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus noctivagus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus atrocapillus,Black-capped Tinamou,Black-capped,Tinamou,Both sexes physical trait,NA,NA,sex dimorphic,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus atrocapillus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted,Tinamou,Both sexes physical trait,NA,NA,sex dimorphic,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus boucardi,Middle America
Tinamiformes,Tinamidae (Tinamous),Crypturellus kerriae,Choco Tinamou,Choco,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Crypturellus kerriae,"Middle America,South America"
Tinamiformes,Tinamidae (Tinamous),Crypturellus variegatus,Variegated Tinamou,Variegated,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,General?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus variegatus,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinnamomeus,Thicket Tinamou,Thicket,Tinamou,Life History,NA,NA,NA,Life History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History,natural history,Crypturellus cinnamomeus,Middle America
Tinamiformes,Tinamidae (Tinamous),Crypturellus brevirostris,Rusty Tinamou,Rusty,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus brevirostris,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus bartletti,Bartlett's Tinamou,Bartlett's,Tinamou,Person,NA,NA,NA,Person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Person,human,Crypturellus bartletti,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus parvirostris,Small-billed Tinamou,Small-billed,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus parvirostris,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus casiquiare,Barred Tinamou,Barred,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Crypturellus casiquiare,South America
Tinamiformes,Tinamidae (Tinamous),Crypturellus tataupa,Tataupa Tinamou,Tataupa,Tinamou,Local language,NA,https://en.wikipedia.org/wiki/Tataupa_tinamou,Guarani word,Local language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local language,human,Crypturellus tataupa,South America
Tinamiformes,Tinamidae (Tinamous),Rhynchotus rufescens,Red-winged Tinamou,Red-winged,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Rhynchotus rufescens,South America
Tinamiformes,Tinamidae (Tinamous),Rhynchotus maculicollis,Huayco Tinamou,Huayco,Tinamou,Local language,Random,https://www.definitions.net/definition/huayco,Huayco is a flash flood event,Local language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local language,human,Rhynchotus maculicollis,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's,Tinamou,Person,NA,NA,NA,Person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Person,human,Nothoprocta taczanowskii,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta ornata,Ornate Tinamou,Ornate,Tinamou,General Descriptor,NA,NA,NA,General Descriptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miscellaneous,human,Nothoprocta ornata,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta perdicaria,Chilean Tinamou,Chilean,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Nothoprocta perdicaria,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta cinerascens,Brushland Tinamou,Brushland,Tinamou,Life History,NA,NA,NA,Life History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History,natural history,Nothoprocta cinerascens,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta pentlandii,Andean Tinamou,Andean,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Nothoprocta pentlandii,South America
Tinamiformes,Tinamidae (Tinamous),Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed,Tinamou,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Nothoprocta curvirostris,South America
Tinamiformes,Tinamidae (Tinamous),Nothura boraquira,White-bellied Nothura,White-bellied,Nothura,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Nothura boraquira,South America
Tinamiformes,Tinamidae (Tinamous),Nothura minor,Lesser Nothura,Lesser,Nothura,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Nothura minor,South America
Tinamiformes,Tinamidae (Tinamous),Nothura darwinii,Darwin's Nothura,Darwin's,Nothura,Person,NA,NA,NA,Person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Person,human,Nothura darwinii,South America
Tinamiformes,Tinamidae (Tinamous),Nothura maculosa,Spotted Nothura,Spotted,Nothura,Both sexes physical trait,NA,NA,NA,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sexes physical trait,physical trait,Nothura maculosa,South America
Tinamiformes,Tinamidae (Tinamous),Taoniscus nanus,Dwarf Tinamou,Dwarf,Tinamou,Size,NA,NA,NA,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Taoniscus nanus,South America
Tinamiformes,Tinamidae (Tinamous),Eudromia elegans,Elegant Crested-Tinamou,Elegant,Crested-Tinamou,General Descriptor,NA,NA,NA,General Descriptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miscellaneous,human,Eudromia elegans,South America
Tinamiformes,Tinamidae (Tinamous),Eudromia formosa,Quebracho Crested-Tinamou,Quebracho,Crested-Tinamou,Time limit,NA,NA,"""Quebracho"" refers to a very hard wooden tree species, but not sure how this relates to the bird.",Life History,NA,NA,NA,Natural History,https://en.wikipedia.org/wiki/Quebracho_tree,"It seems to be named after the trees that occur in its habitat, so I'm going with Natural History",Geographic Location,Wikipedia,"Quebrachos is a department of Argentina, which is where this bird is found. It also refers to a tree. The etymology of it means ""axe-breaker"" according to Wikipedia.",Natural History,https://en.wikipedia.org/wiki/Quebracho_tree,Quebracho is a common name in Spanish to describe very hard (density 0.9–1.3) wood tree species. (BoW): In Bolivia the species has been observed in medium to well drained chaco forest of Schinopsis quebracho-colorado.,Natural History,Natural History,natural history,Eudromia formosa,South America
Tinamiformes,Tinamidae (Tinamous),Tinamotis pentlandii,Puna Tinamou,Puna,Tinamou,Time limit,NA,NA,"Puna Tinamou is alternatively called ""Pentland's Tinamou,"" which is the name of a researcher.",Geographic Location,NA,NA,NA,Natural History,NA,NA,Geographic Location,Wikipedia,"""Puna"" is another word for ""altiplano"" aka the Andean Plateau, which is where this bird is from. It is a contiguous region.",Natural History,NA,NA,Natural History,Natural History,natural history,Tinamotis pentlandii,South America
Tinamiformes,Tinamidae (Tinamous),Tinamotis ingoufi,Patagonian Tinamou,Patagonian,Tinamou,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Tinamotis ingoufi,South America
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius casuarius,Southern Cassowary,Southern,Cassowary,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Casuarius casuarius,Australia-Wallacea
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius bennetti,Dwarf Cassowary,Dwarf,Cassowary,Size,NA,NA,smallest member of genus,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Size,physical trait,Casuarius bennetti,Australia-Wallacea
Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius unappendiculatus,Northern Cassowary,Northern,Cassowary,Geographic Location,NA,NA,NA,Geographic Location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Casuarius unappendiculatus,Australia-Wallacea
Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius novaehollandiae,Emu,Emu,NA,Time limit,NA,NA,NA,Time limit,NA,https://australian.museum/learn/animals/birds/emu/,The Australian museum claims the name comes from an Arabic word for a large bird adopted by Portuguese explorers. So maybe size? Not quite sure what to do about this one.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miscellaneous,human,Dromaius novaehollandiae,Australia-Wallacea
Apterygiformes,Apterygidae (Kiwis),Apteryx australis,Southern Brown Kiwi,Southern,Brown Kiwi,Geographic Location,NA,NA,NA,Geographic Location,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Apteryx australis,Australia-Wallacea
Apterygiformes,Apterygidae (Kiwis),Apteryx rowi,Okarito Brown Kiwi,Okarito,Brown Kiwi,Geographic Location,NA,NA,NA,Geographic Location,Both sexes physical trait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geographic Location,natural history,Apteryx rowi,Australia-Wallacea
